river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Tye River,Tye River_1,What was the estimated property damage in dollars resulting from the 1969 Hurricane Camille event on the Tye River?,$1.4 million,$14 million,$140 billion,$14 billion,$140 million,4
Tye River,Tye River_2,Approximately how long is the Tye River in miles?,5.7 miles,35.4 miles,354 miles,57 miles,57.0 miles,1
Tye River (Washington),Tye River (Washington)_1,Which major infrastructure project's powerlines follow the Tye River west of Tunnel Creek?,Great Northern Railway electrification,U.S. Forest Service transmission lines,Washington State Department of Transportation cables,Cascade Natural Gas pipelines,Bonneville Power Administration (BPA) powerlines,4
Tye River (Washington),Tye River (Washington)_2,What is the primary river system into which the Tye River ultimately discharges its waters?,Lake Washington,Columbia River,Pacific Ocean,Willamette River,Puget Sound,4
Tygart Creek,Tygart Creek_1,What percentage of the Tygart Creek watershed is utilized for pasture and agriculture?,Approximately 130%,Approximately 71%,Approximately 51%,Approximately 14.5%,Approximately 28%,4
Tygart Creek,Tygart Creek_2,How far upstream of the Little Kanawha River's mouth does Tygart Creek flow into it?,Approximately 14.5 miles,Approximately 2 miles,Approximately 10.8 miles,Approximately 23.3 miles,Approximately 6.7 miles,4
Tygart Valley River,Tygart Valley River_1,What is the total drainage area of the Tygart Valley River in square kilometers?,"3,440 miles²","1,329 km²",217 km²,135 km²,"3,440 km²",4
Tygart Valley River,Tygart Valley River_2,The Tygart Valley River is a principal tributary of which larger river system?,Allegheny River,Mississippi River,Ohio River,Allegheny Plateau River,Monongahela River,4
Tyger River,Tyger River_1,The Tyger River is a tributary of which larger river system?,Saluda River,Santee River,Congaree River,Edisto River,Broad River,4
Tyger River,Tyger River_2,In which U.S. state is the Tyger River located?,Virginia,South Carolina,Georgia,Tennessee,North Carolina,1
Tyler Branch,Tyler Branch_1,During which period is safe circulation on the ice of the Tyler Branch generally possible?,Late November to early April,Mid-December to mid-March,Early January to late February,Mid-January to mid-April,Late December to early March,4
Tyler Branch,Tyler Branch_2,Which of the following towns does the Tyler Branch NOT flow through?,Missisquoi,Bakersfield,Enosburg,Franklin,Sheldon,0
Tyndall Branch (Deep Creek tributary),Tyndall Branch (Deep Creek tributary)_1,What is the order of Tyndall Branch as a tributary?,1st order,2nd order,4th order,5th order,3rd order,4
Tyndall Branch (Deep Creek tributary),Tyndall Branch (Deep Creek tributary)_2,What is the length of Tyndall Branch in miles?,5.76 kilometers,3.58 kilometers,3.58 miles,3.00 miles,5.76 miles,2
Tyson Wash,Tyson Wash_1,Tyson Wash is described as a drainage for which geographical feature?,The Imperial Reservoir Drainage,The Bouse Wash drainage,The Colorado River Indian Reservation,The Parker Valley,The La Posa Plain,4
Tyson Wash,Tyson Wash_2,Which of the following bodies of water does Tyson Wash NOT directly enter?,The Parker Valley,The Colorado River,The La Posa Plain,The Lower Colorado River Valley,The Imperial Reservoir Drainage,1
Tysons Creek,Tysons Creek_1,What is the order of Tysons Creek within the river system?,1st order,2nd order,4th order,5th order,3rd order,4
Tysons Creek,Tysons Creek_2,What is the approximate length of Tysons Creek in miles?,3.00 miles,4.18 miles,5.00 miles,7.00 miles,6.73 miles,1
Uchee Creek (Georgia),Uchee Creek (Georgia)_1,Which of the following is a variant spelling of Uchee Creek?,Uchee Stream,Ochee Creek,Yuchi River,Chee Creek,Euchee Creek,4
Uchee Creek (Georgia),Uchee Creek (Georgia)_2,Uchee Creek's mouth empties into which named body of water?,Broad River,Ogeechee River,Savannah River,Altamaha River,Little River,4
Ugashik River,Ugashik River_1,What is the maximum navigable distance upstream from the Ugashik River's mouth into Ugashik Bay?,To the confluence of the Dog Salmon River,To the confluence of Dago Creek,To the confluence of the King Salmon River,To the headwaters near Lower Ugashik Lake,To a small lagoon located just outside the outlet from Lower Ugashik Lake,4
Ugashik River,Ugashik River_2,"Considering the Ugashik River's tributaries, which of the following is located closest to the river's mouth at Ugashik Bay?",Smoky Point,King Salmon River,Lower Ugashik Lake,Dog Salmon River,Dago Creek,1
Ugly Creek (Georgia),Ugly Creek (Georgia)_1,Ugly Creek is a tributary to which larger waterway?,Humorous Creek,Georgia River,Surveyor's Stream,Ugly River,Alligator Creek,4
Ugly Creek (Georgia),Ugly Creek (Georgia)_2,The most probable origin of the name 'Ugly Creek' is attributed to what profession?,A hydrologist,A cartographer,A geologist,A local resident,A surveyor,4
Uinta River,Uinta River_1,"What is the approximate distance, in miles, the Uinta River flows from its origin in the Uinta Mountains to its confluence with the Duchesne River?",50 miles,97 miles,75 miles,85 miles,60 miles,4
Uinta River,Uinta River_2,"Which of the following is a tributary of the Uinta River, joining it near Fort Duchesne?",Uinta Mountains,Dry Gulch Creek,Duchesne River,Randlett Creek,Whiterocks River,1
Umatilla River,Umatilla River_1,What is the approximate drainage basin area of the Umatilla River in square miles?,"6,300 square miles",143 square miles,89 square miles,"2,500 square miles","2,450 square miles",4
Umatilla River,Umatilla River_2,"Which of the following is the most downstream major tributary of the Umatilla River, listed in order from the headwaters?",Birch Creek,Meacham Creek,South Fork Umatilla River,Butter Creek,North Fork Umatilla River,0
Umpqua River,Umpqua River_1,What is the approximate length of the Umpqua River in miles?,120 miles,179 miles,100 miles,150 miles,111 miles,4
Umpqua River,Umpqua River_2,Which mountain range separates the Umpqua River's watershed from the Willamette Valley?,The Sierra Nevada,The Oregon Coast Range,The Calapooya Mountains,The Rocky Mountains,The Cascade Range,2
Unadilla River,Unadilla River_1,What is the primary direction of flow for the Unadilla River for most of its course?,Generally west,Generally north,Generally east,Generally southwest,Generally south,4
Unadilla River,Unadilla River_2,The Unadilla River forms the western border of which county for a significant portion of its length?,Susquehanna County,Chenango County,Madison County,Albany County,Otsego County,4
Unalakleet River,Unalakleet River_1,What is the total length of the Unalakleet River in miles?,145 miles,130 miles,80 miles,170 miles,90 miles,4
Unalakleet River,Unalakleet River_2,What is the approximate length of the protected 'wild' segment of the Unalakleet River in kilometers?,80 km,145 km,130 km,170 km,90 km,2
Uncompahgre River,Uncompahgre River_1,What is the approximate length of the Uncompahgre River in miles?,90 mi,121 mi,60 mi,100 mi,75 mi,4
Uncompahgre River,Uncompahgre River_2,Which of the following towns is located downstream of Ridgway on the Uncompahgre River?,Olathe,Montrose,Ridgway,Delta,Ouray,1
Union Creek (Rogue River tributary),Union Creek (Rogue River tributary)_1,What is the approximate distance of Union Creek's confluence with the Rogue River from the Pacific Ocean?,187 miles,24 km,15 miles,16 km,301 km,4
Union Creek (Rogue River tributary),Union Creek (Rogue River tributary)_2,Which of the following is NOT listed as a type of trout supported by Union Creek?,Brown trout,Brook trout,Rainbow trout,Lake trout,Coastal cutthroat trout,3
Union Creek (South Dakota),Union Creek (South Dakota)_1,Union Creek derives its name from which U.S. state?,Iowa,North Dakota,Nebraska,Montana,South Dakota,4
Union Creek (South Dakota),Union Creek (South Dakota)_2,The geographical origin of Union Creek's name is directly linked to which specific administrative division?,Union River,Union Township,Union City,Union Valley,Union County,4
Union Flat Creek,Union Flat Creek_1,What is the total elevation drop of Union Flat Creek from its source to its mouth?,"1,168 feet","1,652 meters","2,820 feet",859.5 meters,"1,652 feet",4
Union Flat Creek,Union Flat Creek_2,"If Union Flat Creek flows west into Whitman County, Washington, and its mouth is west of La Crosse, what is the approximate distance in miles from its source near Genesee, Idaho, to its mouth?",100 miles,120 miles,50 miles,60 miles,72 miles,4
Union River (Maine),Union River (Maine)_1,What is the combined annual power generation of the Union River's Leonard Lake dam in megawatt hours?,"35,200 megawatt hours","3,000 megawatt hours","21,900 megawatt hours",1907 megawatt hours,"29,907 megawatt hours",4
Union River (Maine),Union River (Maine)_2,What is the approximate distance in miles the Union River flows as an estuary from downtown Ellsworth to its mouth?,21.9 miles,8 miles,13 miles,35.2 miles,5 miles,4
Union River (Michigan),Union River (Michigan)_1,What is the approximate length of the Union River in miles?,6.2 miles,8.9 miles,4.0 miles,5.0 miles,5.5 miles,4
Union River (Michigan),Union River (Michigan)_2,The Union River is a tributary of which major Great Lake?,Lake Erie,Lake Superior,Lake Huron,Lake Ontario,Lake Michigan,1
Union River (Washington),Union River (Washington)_1,What is the primary geographical feature that the Union River empties into?,Pacific Ocean,Puget Sound,Strait of Juan de Fuca,Olympic Peninsula Bay,Hood Canal,4
Union River (Washington),Union River (Washington)_2,"Which specific body of water serves as the drinking water source for Bremerton, as provided by the Union River system?",Olympic Reservoir,Kitsap Lake,Bremerton Harbor,Central Kitsap Aquifer,Union River Reservoir,4
Unuk River,Unuk River_1,What is the approximate distance in miles the Unuk River flows from its headwaters before emptying into Burroughs Bay?,70 mi,129 km,Approximately 100 mi,129 mi,80 mi,4
Unuk River,Unuk River_2,"The Tlingit name for the Unuk River, Joonáx̱, is suggested to relate to which concept?",Salmon spawning,Flowing water,Mountain peaks,Ancient spirits,Dreaming,4
Upatoi Creek,Upatoi Creek_1,What is the difference in elevation between Upatoi Creek's source and its confluence with the Chattahoochee River?,547 feet,370 feet,177 feet,200 feet,193 feet,4
Upatoi Creek,Upatoi Creek_2,Which pair of counties does Upatoi Creek NOT form a boundary between as it flows westward and southwestward?,Marion and Chattahoochee,Talbot and Chattahoochee,Muscogee and Chattahoochee,Talbot and Muscogee,Talbot and Marion,3
Upper Ammonoosuc River,Upper Ammonoosuc River_1,What is the approximate air distance between the Upper Ammonoosuc River's source and its mouth?,32 km,68.2 km,97 km,25 miles,38 km,4
Upper Ammonoosuc River,Upper Ammonoosuc River_2,Which of the following is NOT listed as a major tributary of the Upper Ammonoosuc River?,East Branch of the Upper Ammonoosuc,Phillips Brook,West Branch of the Upper Ammonoosuc,North Branch of the Upper Ammonoosuc,Nash Stream,0
Upper Beech Hill Brook,Upper Beech Hill Brook_1,In which U.S. state is the Upper Beech Hill Brook located?,Massachusetts,Pennsylvania,Vermont,New Jersey,New York,4
Upper Beech Hill Brook,Upper Beech Hill Brook_2,Northeast of what geographical feature does the Upper Beech Hill Brook flow into the Beaver Kill?,A lake known as Pepacton Reservoir,A town named Kingston,A mountain range called the Catskills,A major highway intersection,A specific unnamed location,4
Upper Iowa River,Upper Iowa River_1,What is the approximate acreage of land purchased by the Iowa Natural Heritage Foundation in April 2007 for riverbank stabilization and restoration?,156 acres,"641,000 acres","2,590 acres",5 acres,"1,224 acres",4
Upper Iowa River,Upper Iowa River_2,Which of the following cities is NOT explicitly mentioned as being passed by the Upper Iowa River along its course?,Chester,Waterloo,Lime Springs,Bluffton,Decorah,1
Upper Little River (Cape Fear River tributary),Upper Little River (Cape Fear River tributary)_1,What is the approximate length of the Upper Little River in miles?,81.95 kilometers,81.95 miles,50.92 kilometers,5.09 miles,50.92 miles,4
Upper Little River (Cape Fear River tributary),Upper Little River (Cape Fear River tributary)_2,The Upper Little River is a tributary of which larger river system?,Roanoke River,Neuse River,Pee Dee River,New River,Cape Fear River,4
Upper Millecoquins River,Upper Millecoquins River_1,What is the approximate length of the Upper Millecoquins River in kilometers?,12.2 miles,7.6 km,19.8 km,7.6 miles,12.2 km,4
Upper Millecoquins River,Upper Millecoquins River_2,The Upper Millecoquins River originates from the outflow of which specific body of water?,Upper Millecoquins Pond,Millecoquins Lake,Lake Michigan,Lower Millecoquins River,Millecoquins Pond,4
Upper Tamarack River,Upper Tamarack River_1,What is the approximate length of the Upper Tamarack River in kilometers?,49.0 km,31.0 km,50.0 km,31.9 km,49.9 km,4
Upper Tamarack River,Upper Tamarack River_2,The Upper Tamarack River is a tributary to which larger river system?,Mississippi River,Lower Tamarack River,Wisconsin River,Minnesota River,St. Croix River,4
Upper Truckee River,Upper Truckee River_1,What is the approximate length of the Upper Truckee River in miles?,20 miles,37 miles,15 miles,30 miles,23 miles,4
Upper Truckee River,Upper Truckee River_2,From which specific geographical feature does the Upper Truckee River originate?,Alpine County,Lake Tahoe,Truckee Marsh,South Lake Tahoe,Red Lake Peak,4
Urbanna Creek,Urbanna Creek_1,What is the order of Urbanna Creek within its river system?,1st order,2nd order,4th order,5th order,3rd order,4
Urbanna Creek,Urbanna Creek_2,For what portion of its length is Urbanna Creek tidal?,The middle third,The downstream half,The upstream half,The final quarter,Its entire distance,4
Us-kab-wan-ka River,Us-kab-wan-ka River_1,"What is the approximate drainage area, including tributaries, of the Us-kab-wan-ka River in square kilometers?",40.43 km²,31.7 km²,19.7 km²,136.4 km²,104.7 km²,4
Us-kab-wan-ka River,Us-kab-wan-ka River_2,"What is the Ojibwe name for the Us-kab-wan-ka River, and what does it translate to?",askibwaanikaa-ziibi (nearby Artichoke River),Ush-kab-wan (small tributary),Cloquet River (main river),Us-kab-wan-ka (northeast Minnesota),askibwaanikaa-ziibi (river full of Jerusalem artichokes),4
Usal Creek,Usal Creek_1,What is the approximate distance inland from the Pacific coast that the crest of Usal Creek's interior ridge runs parallel to it?,"1,600 feet (490 m)",9.7 miles (15.6 km),28 square miles (73 km2),Approximately 2 miles (3 km),4 miles (6 km),4
Usal Creek,Usal Creek_2,"Considering the tributaries of Usal Creek, which of the following flows into the South Fork?",Bear Creek,Chimney Rock Creek,Julias Creek,Little Bear Creek,Soldier Creek,2
Usquepaug River,Usquepaug River_1,What is the approximate length of the Usquepaug River in miles?,8.2 mi,12 mi,6.0 mi,10.1 mi,7.5 mi,4
Usquepaug River,Usquepaug River_2,The Usquepaug River is a significant tributary to which larger river system?,Blackstone River,Providence River,Wood River,Ten Mile River,Pawcatuck River,4
Utley Brook,Utley Brook_1,What is the approximate length of Utley Brook in miles?,5.0 miles,7.2 miles,3.0 miles,6.1 miles,4.5 miles,4
Utley Brook,Utley Brook_2,Utley Brook is classified as which two types of fisheries?,Migratory Fishery and Bass Fishery,Warmwater Fishery and Recreational Fishery,Coldwater Fishery and Trout Fishery,Coldwater Fishery and Catfish Fishery,Coldwater Fishery and Migratory Fishery,4
Utukok River,Utukok River_1,What is the Utukok River's approximate distance southwest of Icy Cape where it empties into Kasegaluk Lagoon?,362 kilometers,32 kilometers,225 miles,15 miles,20 miles,4
Utukok River,Utukok River_2,"The Inuit name 'Utuqqaq' for the Utukok River translates to which English term, also used for a nearby geographical feature?",Lagoon,North,Old,Caribou,Ancient,4
Utukok River,Utukok River_1,What is the approximate distance in miles between the Utukok River's mouth and Icy Cape?,362 miles,32 miles,225 miles,15 miles,20 miles,4
Utukok River,Utukok River_2,"The Iñupiaq name 'Utuqqaq' for the Utukok River translates to which English term, also used for a nearby geographical feature?",Arctic,North,Old,Chukchi,Ancient,4
Uvas Creek,Uvas Creek_1,What is the approximate length of Uvas Creek in kilometers?,29.0 km,29.5 km,47.0 km,50.0 km,47.5 km,4
Uvas Creek,Uvas Creek_2,Which geographical feature marks the origin of Uvas Creek?,Christmas Hill Park,Uvas Canyon County Park,Morgan Hill,Pajaro River,Loma Prieta peak,4
Uwharrie River,Uwharrie River_1,What is the Uwharrie River's approximate length in kilometers?,99.52 mi,61.84 km,161.36 km,61.84 mi,99.52 km,4
Uwharrie River,Uwharrie River_2,The Uwharrie River is a tributary of which larger river system that ultimately reaches the Atlantic Ocean?,Piedmont River,Atlantic River,Central North River,Uwharrie Creek,Pee Dee River,4
Valdez Creek,Valdez Creek_1,Valdez Creek is a tributary of which larger river system?,Tanana River,Yukon River,Kuskokwim River,Copper River,Susitna River,4
Valdez Creek,Valdez Creek_2,What is the indigenous Ahtna name for Valdez Creek?,Nenana,Chulitna,Talkeetna,Matanuska,Ben K'atgge,4
Vallecito Creek (California),Vallecito Creek (California)_1,What is the approximate length of Vallecito Creek in miles?,32 mi,31 mi,116 mi,25 mi,19 mi,4
Vallecito Creek (California),Vallecito Creek (California)_2,Vallecito Creek originates as a continuation of which geographical feature?,Little Valley,Carrizo Creek,Mason Valley,Carrizo Valley,Vallecito Wash,4
Valley Creek (Minnesota),Valley Creek (Minnesota)_1,Valley Creek originates in which Minnesota city?,"St. Paul, Minnesota","Afton, Minnesota","Minneapolis, Minnesota","Bolles, Minnesota","Woodbury, Minnesota",4
Valley Creek (Minnesota),Valley Creek (Minnesota)_2,Approximately how long is Valley Creek in miles?,20 miles,10 miles,6 miles,12 miles,16 miles,1
Valley Creek (Pennsylvania),Valley Creek (Pennsylvania)_1,What was the approximate length of Valley Creek in miles when it was described?,17.0 miles,17.4 miles,10.0 miles,11.0 miles,10.8 miles,4
Valley Creek (Pennsylvania),Valley Creek (Pennsylvania)_2,"In which year was a forge first erected along Valley Creek, leading to the establishment of Valley Forge?",1776,1778,1740,1750,1777,2
Valley Creek (South Dakota),Valley Creek (South Dakota)_1,What is the primary geographical characteristic that led to Valley Creek being named as it is?,Its flow through a valley of agricultural importance,Its proximity to a valley town,The presence of a valley-shaped riverbed,Its origin in a mountainous valley,Its location within a valley,4
Valley Creek (South Dakota),Valley Creek (South Dakota)_2,In which U.S. state is Valley Creek situated?,Wyoming,South Dakota,North Dakota,Nebraska,Montana,1
Valley River,Valley River_1,What is the approximate total descent in elevation of the Valley River over its course?,Approximately 900 feet (274 m),120 square miles (11.15 km2),40 miles (64 km),"Over 3,000 meters","2,960 feet (900 m)",4
Valley River,Valley River_2,"If US 19 runs parallel to the Valley River between Topton and Murphy, North Carolina, and the river flows generally southwest, what is the approximate total area of the river's watershed?",11.15 square miles (120 km2),40 miles (64 km),"2,960 feet (900 m)",64 square kilometers,120 m2 (11.15km2),4
Van Brunt Creek,Van Brunt Creek_1,What is the approximate length of Van Brunt Creek in miles?,3.5 miles,5.3 miles,3 miles,4.0 miles,3.3 miles,4
Van Brunt Creek,Van Brunt Creek_2,Van Brunt Creek is a tributary of which larger river?,Susquehanna River,Langan Creek,Lackawanna River,Willow Creek,Roaring Brook,4
Van Duzen River,Van Duzen River_1,What is the approximate difference in elevation between the Van Duzen River's source and its confluence with the Eel River?,"About 4,950 feet","Approximately 4,940 feet","Exactly 5,000 feet","Just under 5,000 feet","Over 5,000 feet",4
Van Duzen River,Van Duzen River_2,"Considering the land ownership breakdown, what percentage of the Van Duzen River watershed is comprised of privately owned land that is NOT industrial timberland?",43 percent,31 percent,17 percent,57 percent,26 percent,1
Van Trump Creek,Van Trump Creek_1,Van Trump Creek is a tributary of which major river?,Puyallup River,Paradise River,White River,Skokomish River,Nisqually River,4
Van Trump Creek,Van Trump Creek_2,In which Washington county is Van Trump Creek located?,Kitsap County,King County,Thurston County,Snohomish County,Pierce County,4
Van Wie Creek,Van Wie Creek_1,Van Wie Creek empties into which major river system?,Oswego River,Hudson River,Genesee River,Allegheny River,Mohawk River,4
Van Wie Creek,Van Wie Creek_2,Near which New York settlement does Van Wie Creek converge with its receiving waterway?,"Utica, New York","Albany, New York","Schenectady, New York","Rome, New York","Randall, New York",4
Vanbuskirk Gulf,Vanbuskirk Gulf_1,In which county is Vanbuskirk Gulf primarily located?,Cortland County,Cayuga County,Tioga County,Schuyler County,Tompkins County,4
Vanbuskirk Gulf,Vanbuskirk Gulf_2,Southeast of which New York settlement does Vanbuskirk Gulf discharge into Cayuga Inlet?,Auburn,Ithaca,Geneva,Watkins Glen,Newfield,4
Vanocker Creek,Vanocker Creek_1,What is the geographical designation of Vanocker Creek?,A tributary in North Dakota,A river in Wyoming,A creek in Montana,A canal in Nebraska,A stream in South Dakota,4
Vanocker Creek,Vanocker Creek_2,The naming of Vanocker Creek is attributed to which historical figure?,A fur trader named John Jacob Astor,A Native American chief named Black Elk,A prospector named Jedediah Smith,A pioneer woman named Sacagawea,An early settler named Frank Vanocker,4
Varnals Creek,Varnals Creek_1,What is the order of Varnals Creek as a tributary?,1st order,2nd order,4th order,5th order,3rd order,4
Varnals Creek,Varnals Creek_2,What is the approximate length of Varnals Creek in miles?,6.50 mi,11.47 mi,8.00 mi,10.00 mi,7.13 mi,4
Varnell Creek (Rocky River tributary),Varnell Creek (Rocky River tributary)_1,What is the approximate length of Varnell Creek in miles?,6.08 miles,11.07 miles,7.88 miles,11.70 miles,6.88 miles,4
Varnell Creek (Rocky River tributary),Varnell Creek (Rocky River tributary)_2,Varnell Creek is classified as what order tributary?,1st order,4th order,3rd order,5th order,2nd order,2
Vedder River,Vedder River_1,What is the original Halkomelem meaning of the name 'Chilliwack' as applied to the river?,Land of abundant water,Place of the great salmon,River of the west wind,Source of the fertile valley,Valley of many streams,4
Vedder River,Vedder River_2,Which geographical regions does the Vedder River traverse?,Canadian province of Manitoba and the U.S. state of Montana,Canadian province of Alberta and the U.S. state of Oregon,Canadian province of British Columbia and the U.S. state of Idaho,Canadian province of Saskatchewan and the U.S. state of Wyoming,Canadian province of British Columbia and the U.S. state of Washington,4
Vegetarian Creek,Vegetarian Creek_1,Vegetarian Creek is located within which two specific Kansas counties?,Allen and Shawnee counties,Allen and Bourbon counties,Neosho and Bourbon counties,Neosho and Shawnee counties,Allen and Neosho counties,4
Vegetarian Creek,Vegetarian Creek_2,The naming of Vegetarian Creek commemorates a historical event related to what type of settlement?,A religious commune in the 1840s,A settlement of farmers in the 1860s,A mining town in the 1870s,A trading post in the 1850s,A colony of vegetarians in the 1850s,4
Venison Creek (Wisconsin),Venison Creek (Wisconsin)_1,Venison Creek is situated within which designated protected area?,Horicon National Wildlife Refuge,Apostle Islands National Lakeshore,Wisconsin State Natural Areas,Kettle Moraine State Forest,Chequamegon-Nicolet National Forest,4
Venison Creek (Wisconsin),Venison Creek (Wisconsin)_2,The geographical context of Venison Creek is primarily defined by its inclusion in which large federal land designation?,National Recreation Area,National Grassland,National Monument,National Preserve,National Forest,4
Ventura River,Ventura River_1,What is the total length of the Ventura River from its headwaters to the Pacific Ocean?,26.1 miles (16.2 km),0.7 miles (1.1 km),15.5 miles (25.0 km),16.9 miles (27.2 km),16.2 miles (26.1 km),4
Ventura River,Ventura River_2,What is the approximate length of the Ventura River's estuary section?,15.5 miles (25.0 km),16.2 miles (26.1 km),1.1 miles (0.7 km),26.1 miles (16.2 km),0.7 miles (1.1 km),4
Verde River,Verde River_1,What is the mean flow rate of the Verde River at its mouth in cubic feet per second?,60.2 cubic feet per second,170 cubic feet per second,270 cubic feet per second,17.0 cubic feet per second,602 cubic feet per second,4
Verde River,Verde River_2,"If the Verde River's length is approximately 170 miles, what is its approximate length in kilometers?",270 kilometers,270 miles,170 meters,170 cubic feet per second,170 kilometers,0
Verdigre Creek,Verdigre Creek_1,What is the approximate latitude of the confluence where the Verdigre Creek mainstream originates?,42°26′00″N,42°42′00″N,98°08′19″W,42°27′16″N,42°26′16″N,4
Verdigre Creek,Verdigre Creek_2,The Verdigre Creek's mouth opens into the Niobrara River at a longitude approximately how many degrees west of the Prime Meridian?,98°04′23″W,98°08′19″W,98°03′00″W,98°02′23″W,98°03′23″W,4
Verdigris River,Verdigris River_1,What is the approximate length of the Verdigris River in miles?,315 miles,500 miles,300 miles,490 miles,310 miles,4
Verdigris River,Verdigris River_2,The Verdigris River is a tributary of which larger river system?,The Ohio River,The Mississippi River,The Missouri River,The Red River,The Arkansas River,4
Verdugo Wash,Verdugo Wash_1,What is the approximate length of Verdugo Wash in kilometers?,151 km,9.4 km,24.5 km,94 km,15.1 km,4
Verdugo Wash,Verdugo Wash_2,"Verdugo Wash is entirely encased in a concrete flood control channel, with the exception of what specific feature?",The source area in the Crescenta Valley,The confluence with the Los Angeles River,The section flowing through the Verdugo Mountains pass,The portion northeast of Griffith Park,The free-flowing stream inside the Verdugo Wash Debris Basin Dam,4
Vere (river),Vere (river)_1,What is the total basin area of the Vere river in square miles?,28 sq mi,194 sq mi,45 sq mi,194 km2,75 sq mi,4
Vere (river),Vere (river)_2,"Which of the following is a former name of the Vere river, as documented by Prince Vakhushti?",Trialeti,Skvireti,Mziuri,Varaziskhevi,Betania,1
Verf Kill,Verf Kill_1,What is the direct English translation of the Dutch name 'Verf Kill'?,Pigment Brook,Dye Stream,Color River,Hue Water,Paint Creek,4
Verf Kill,Verf Kill_2,Into which larger river does the Verf Kill discharge?,Oswego River,Mohawk River,Genesee River,Allegheny River,Hudson River,1
Verkeerder Kill,Verkeerder Kill_1,What is the approximate vertical drop of Verkeerder Kill Falls?,187 feet,13 kilometers,8 miles,57 feet,57 meters,4
Verkeerder Kill,Verkeerder Kill_2,The Verkeerder Kill is a tributary of which larger river system?,The Capital District River,The Wallkill River,The Shawangunk Kill,The Long Path River,The Hudson River,1
Vermejo River,Vermejo River_1,The Vermejo River originates from the confluence of which two waterways?,Upper Vermejo River and Lower Vermejo Creek,South Fork Vermejo River and Big Vermejo Creek,East Fork Vermejo River and West Vermejo Creek,North Branch Vermejo River and South Branch Vermejo Creek,North Fork Vermejo River and Little Vermejo Creek,4
Vermejo River,Vermejo River_2,"In Spanish, the word 'Vermejo' translates to what color, sharing an origin with 'vermilion'?",Yellowish,Bluish,Greenish,Brownish,Reddish,4
Vermilac River,Vermilac River_1,What is the total length of the Vermilac River in kilometers?,14.2 miles,8.8 km,23.0 km,8.8 miles,14.2 km,4
Vermilac River,Vermilac River_2,Which river is the ultimate recipient of the Vermilac River's waters before reaching Lake Superior?,Little King Lake,Rock River,Worm Lake,King Lake,Sturgeon River,4
Vermilion River (Illinois River tributary),Vermilion River (Illinois River tributary)_1,What is the approximate length of the Vermilion River (Illinois River tributary) in kilometers?,74.8 miles,74.8 km,120.4 miles,200.8 km,120.4 km,4
Vermilion River (Illinois River tributary),Vermilion River (Illinois River tributary)_2,In which direction does the Vermilion River (Illinois River tributary) primarily flow?,West,South,East,Northeast,North,4
Vermilion River (Louisiana),Vermilion River (Louisiana)_1,"What was the maximum historic negative discharge recorded at the Surrey Street stream gauge in Lafayette, Louisiana, and when did it occur?","-11,300 ft³/s on July 17, 1989","-6,280 ft³/s on July 17, 1989","6,280 ft³/s on August 13, 2016","11,300 ft³/s on August 13, 2016","-11,300 ft³/s on August 13, 2016",4
Vermilion River (Louisiana),Vermilion River (Louisiana)_2,What is the capacity of the pumping station operated by the Teche-Vermilion Freshwater District to pump fresh water into the Vermilion River?,9 feet per second,70.0 miles per second,112.7 cubic feet per second,100 meters per second,"1,040 cubic feet per second",4
Vermilion River (Minnesota),Vermilion River (Minnesota)_1,In which county of Minnesota is the Vermilion River primarily located?,Itasca County,Lake County,Cook County,Carlton County,Saint Louis County,4
Vermilion River (Minnesota),Vermilion River (Minnesota)_2,The Vermilion River's waters are described as having what characteristic color?,Murky brown,Deep green,Silvery blue,Clear and transparent,Brownish-red,4
Vermilion River (Ohio),Vermilion River (Ohio)_1,What is the drainage area of the Vermilion River (Ohio) in square miles?,690 square miles,107.7 square miles,66.9 square miles,268 kilometers squared,268 square miles,4
Vermilion River (Ohio),Vermilion River (Ohio)_2,Which of the following fish species is NOT explicitly mentioned as inhabiting the Vermilion River (Ohio)?,Channel catfish,Steelhead trout,Walleye,Bluegill,Smallmouth bass,2
Vermilion River (Wabash River tributary),Vermilion River (Wabash River tributary)_1,The Vermilion River (Wabash River tributary) flows into which major river system?,Mississippi River,Illinois River,Ohio River,Missouri River,Wabash River,4
Vermilion River (Wabash River tributary),Vermilion River (Wabash River tributary)_2,What geographical feature was near Roberts that the two Vermilion Rivers drained?,Karst sinkhole,Glacial lake,Volcanic caldera,Alluvial plain,Upland marsh,4
Vermillion Creek,Vermillion Creek_1,"Vermillion Creek flows south from Sweetwater County, Wyoming, to a confluence with the Green River. What is the approximate length of Vermillion Creek in kilometers?",67.0 km,67.5 km,108.0 km,108.6 miles,108.6 km,4
Vermillion Creek,Vermillion Creek_2,"Vermillion Creek is a tributary of the Green River, flowing south from Sweetwater County, Wyoming. Where does Vermillion Creek merge with the Green River?","In the state of Wyoming, north of Colorado","South of the Gates of Lodore in Moffat County, Colorado","Just south of Sweetwater County, Wyoming",At the confluence with the Colorado River,"Just north of the Gates of Lodore in Moffat County, Colorado",4
Vermillion River (Minnesota),Vermillion River (Minnesota)_1,What is the approximate total length of the Vermillion River in miles?,21.7 miles,95.9 miles,13.5 miles,46.1 miles,59.6 miles,4
